id,question,ground_truth,source_hint
1,근로계약서에 반드시 포함되어야 하는 항목은?,근로계약서에는 임금 근로시간 휴일 등 주요 근로조건이 명시되어야 한다,근로계약서 작성방법
2,2026년 적용 최저임금 시간급은 얼마인가?,2026년 적용 최저임금 시간급은 10320원이다,2026 최저임금
3,휴게시간 확인이 필요한 근무 조건은?,근로시간이 4시간인 경우에는 30분 이상 8시간인 경우에는 1시간 이상의 휴게시간을 확인해야 한다,근로시간 휴게시간 FAQ
4,표준근로계약서에는 어떤 주요 항목이 포함되어 있는가?,표준근로계약서에는 근로개시일 또는 근로계약기간 근무장소 업무내용 소정근로시간 근무일과 휴일 임금 연차유급휴가 사회보험 적용여부 근로계약서 교부 등이 포함되어 있다,2025 표준근로계약서
5,근로계약서 작성 시 임금 항목에 기재해야 할 내용은?,임금 항목에는 월급 일급 시간급 상여금 그 밖의 수당 임금지급일 지급방법 등을 기재해야 한다,2025 표준근로계약서
6,2026년 적용 최저임금으로 확정 고시된 시간급은 얼마인가?,고용노동부는 2026년 적용 최저임금을 시간급 10320원으로 확정 고시했다,2026 최저임금
7,근로시간이 4시간인 경우 필요한 휴게시간은?,근로시간이 4시간인 경우에는 30분 이상의 휴게시간을 근로시간 도중에 주어야 한다,근로시간 휴게시간 FAQ
8,근로계약서에 근로시간을 어떻게 기재해야 하나?,"근로계약서에는 소정근로시간, 1일·1주 근로시간, 휴게시간을 명확히 기재해야 한다",근로계약서 작성방법
9,2026년 적용 최저임금은 모든 사업장에 동일하게 적용되는가?,2026년 적용 최저임금은 업종 구분 없이 모든 사업장에 동일하게 적용된다,2026 최저임금
10,근로시간이 8시간인 경우 필요한 휴게시간은?,근로시간이 8시간인 경우에는 1시간 이상의 휴게시간을 근로시간 도중에 주어야 한다,근로시간 휴게시간 FAQ
11,근로계약서에 휴일을 어떻게 기재해야 하나?,주휴일과 공휴일 대체공휴일 근로자의 날 등 휴일에 관한 사항을 기재해야 한다,2025 표준근로계약서
12,2026년 최저임금 월급 환산액(주 40시간 기준)은?,2026년 최저임금 시간급 10320원 기준 주 40시간 근무 시 월급 환산액은 2156880원이다,2026 최저임금
